Ratings,Reviews
4.0,"TL;DR - Fantastic brunch spot if you can sit in their patioI've come here a few times now and I think it's a fantastic spot to bring someone on a date or gathering with friends, especially if you can get a seat in the back. I recommend calling ahead to book or using Opentable.The food it good but not exceptional. Nothing stands out to me. They have a variety of different items, including sandwiches, pancakes, quinoa bowls, Chilaquiles, etc. which is great for friends with different tastebuds. I got a quinoa bowl and added a ham. This includes avocado and poached egg and tbh, this is the best deal on the menu. I noticed the Chilaquiles was a bit light on toppings. Fried Rocky Jr Organic Chicken Sandwich with House Cut Fries is a good value too because  the sandwich is pretty big and the fries are fresh and super crunchy.Overall, a good place for friends but too hyped up."
5.0,"Visiting an old stomping ground is an interesting experience - the Castro was a staple of my first few years in SF and it's undergone a transformation in the era of COVID. The bars are now outside and it's refreshingly buzzing with energy for those of us exhausted by the lockdowns of the past year. I've always wanted to try this place - I heard they had a great patio for outdoor dining (they do!) and decided to catch up with a friend for dinner.  We shared the pork cheeks, avocado Dungeness crab tower, mussels, lamb chops, baked Mac n' cheese (topped with crab) and pear ginger crisp. Everything was excellent but the baked n' cheese topped with Dungeness crab was the highlight of that meal. The best of it was the burnt bits (kinda the burnt rice on a bibimbap).  Crab season also just opened and the side of crab on top was the perfect accompaniment.  The lamb chop was also a special dish, particular with the Parmesan gnocchi and mint sauce. Service was good and the patio indeed lived up to expectations. With tax and tip, this was $80 per person. Just a great dining experience and highly recommended!!!"
5.0,"Excellent service, beautiful outdoor patio, and great food! I didn't try it personally, but their double double cheese burger looked out of this world!!"
5.0,"I'm so glad this place is still open in Covid. It's a beautiful place to go to for Brunch.The outdoor seating here is amazing, and the food it top notch. I got the chicken sandwich and it did not disappoint. It was nice and crunch and still super juicy on the inside.Would come back again anytime!"
5.0,"Cute outdoor garden experience during covid. My boyfriend and I were looking for some place to dine during covid, just to feel the dining energy back. This restaurant was great, very cute, and with good vibes. I had lamb chops with a glass of red wine to calm down the strong lamb taste. My boyfriend had the sauteed king salmon with horseradish in a bed corn, he said he liked the lamb dish better and I did too. If you ever get to visit this place, enjoy it!"
4.0,Beautiful garden dining experience! I would probably go here again just to experience the garden ambience! The food was absolutely fresh. Limited on veg options. But when I checked the menu their brunch and lunch options have at least a few veg options when compared to their dinner menu(where only the salads are veg friendly and no entree was veg friendly). My husband had the egg sandwich without bacon. He thought the Gorgonzola cheese didn't go really well with the rest of the sandwich. I had the vegan grilled zucchini sandwich with a mixed green salad on the side. I absolutely devoured it! The focaccia bread for the sandwiches were so fresh and tasted great! PS: furry friends are more than welcome here :)
5.0,"Recently went here for lunch. Nice back patio seating. Enough space so you felt good about being there, and the patio was lush with plants, and felt so good to be dining outdoors. The food was superb. We had the fried chicken sandwich, with French fries (delicious!) and to balance that out, the beet salad with goat cheese, and grilled chicken. Both were fresh and really tasty. The service was friendly and efficient. This place really was a gem in a busy neighborhood. I'd recommend making reservations ahead of time, just in case."
5.0,"We got lucky find meter parking right across street. We had reservation so we were seated immediately. We walk toward back of restaurant.  Into a beautiful outdoor garden. Tables were social distance. Our waitress did superb job with her mask on. She was very attentive but kept interruption minimal. We ordered tuna tower, salmon and special of day Seafood Cioppino. All the dishes was cooked to perfection. We cleaned out our plates. Perfect for girls night or date night."
5.0,"Very  cute spit with an amazing garden partio! Lamb chops are excellent . Perfect combination of spices . Extra credit for hosts. They really have an idea how restaurant works. Three of us stopped on Saturday night at 7 pm at Castro !! Without no reservations. According to their reservation system they were fully booked up. However, hosts were  really  good at ""games of tables"" and found I way  to sot us! Definitely we will be back"
4.0,"Came here on a whim on a Saturday night and was able to get a table inside. Unfortunately all of the garden tables were taken, but I'm glad that we were able to try the food. Got the mac & cheese, meatballs, and burger. Everything was delicious. The mac & cheese was amazing! The meatballs... I've had better, but overall it was a good experience. We had a great waiter as well. Would love to come back and eat in the garden soon"
5.0,"I came here after Covid19 restrictions were lifted. We sat in the back patio during a beautiful day. The one thing I didn't like was that our server was very clueless about checking if we were good. We waited over 30 minutes just to get water or drinks. But the two other servers saved the day by being super attentive so that would be my negative critique of them. Food:Eggs Benedictspinach, poached eggs, hollandaise, mixed greens - added avocadoRed Quinoa Brunch Bowl with Poached Eggs & Avocadogreen and yellow zucchini, arugula, honey-lemon vinaigrette Sandwichover-medium eggs, gorgonzola spread, bacon, arugula, honey-lemon vinaigrette - added bacon & avocadoDrinks:My friends had mimosas, Rose, and water. The drinks very good.I definitely love the upgrades you guys have made since the last time I came. I also love how clean your bathrooms are and I appreciated that. One other friendly tip is to make sure there's enough shade in the back as it was very hot the time I went. Thanks again for everything."
4.0,"What a delightful garden patio dining experience! I came here for Saturday brunch with a girlfriend, we made reservations online and were seated pretty promptly after a short wait. I would recommend making a reservation if possible, there was a bit of a line outside waiting for walk-in seating. The ambiance is very pretty, almost felt like I was transported out of SF and into a garden oasis! Fair warning, if you are paranoid about table spacing for outdoor dining for COVID-19 reasons, this might give you a bit of anxiety especially during full-house weekend brunch time. I thought the tables were pretty squished together in the back garden patio, there was maybe 3 ft space between our seats and the seats of the table next to us. Granted, the tables may be precisely 6ft apart, just not the seats..The food was good for brunch. I had a crab cake Benedict and split the French toast. I thought the French toast was the most memorable dish of the meal, and the Bloody Mary was pretty good as well. We also shared a carafe of blood orange mimosa because why not. Service was friendly and as attentive as you can expect for a weekend brunch in the city. Overall, I had a lovely time and would consider dining here again."
3.0,"The decor and food here is excellent. It's such a beautiful place. I had the baguette French toast with a side of bacon which was delicious. It was soft and warm and came with strawberries. Also had the blood Orange mimosa which was really good as well. The food arrived quickly too. Only issue was the waitress. We arrived at 1:56 for a 2pm reservation. The hostess was SO WONDERFUL and told us the kitchen closed in 30 minutes, but drinks could still be ordered after that. Great. Then comes Katrina. She rushes us to put our order in. Then she tells me I have to put my mask on even though I was sitting at the table. She didn't tell the other person I was with to put their mask on, nor did she say that to any other table. I am not someone who doesn't wear their mask or take COVID seriously. I take it very seriously so for her to say that to me, really took me aback because I didn't think I was doing anything wrong and I felt singled out. Then as we're eating she comes and puts the check on the table. We sat at 2 and she gave us the check at 2:55, even though there is a 90 minute limit. She never asked us if we wanted anything else. We had wanted to order another carafe, but she didn't give us the opportunity. As we were finishing our first carafe she kept taking things off our table, but again not doing this to anyone else. We felt so rushed and pushed out. I'd like to give this place more stars, but she took away from our experience."
5.0,"This spot is adorable and cozy! My boyfriend took me here for my birthday and I was so surprised to find this gem of a garden in the back of the restaurant. The food was also delicious. We had the sesame seed seared ahi tuna, pan roasted chicken and the Mac & cheese. The tuna was soooo good! It was accompanied by grilled bok Choy, a basil sauce and mango pico de gallo which perfectly complemented the dish. So so good! Definitely getting that if I return. The chicken was a little dry but overall flavour was very comforting. The Mac and cheese was also sooo tasty. For dessert, we had the chocolate mousse which was light and not too sweet. Hope to return again for brunch in the courtyard!"
5.0,"First and foremost, the patio is beautiful.We stumbled upon this place whilst strolling through the Castro, and delightfully discovered the back patio that feels like it's from a different world. Almost like going into Narnia.Thankfully, the food stacks up to the plate as well. We had the burger, vegan lasagne, lamb, and Mac & Cheese and they were all fantastic.Also -- HUGE shouts to our server Arion. Fantastic dude, kept a very entertaining conversation while we waited for our order!"
2.0,"I'm so sorry but what is the hype on this place? The food was so not good. I would give the vibe 4/5 stars. The burger was OK, pork chop was absolutely gross. You can make a better New York steak yourself on the stove. I'm having a hard time believing these 4 and five star reviews. The only reason why i booked was because of the reviews. Save your money and go elsewhere."
4.0,"I'm very glad we went there and had a really pleasant time and really tasty food there. Outdoor seating is available during the COVID but to our safey the patio is pretty spacious and it's possible to keep social distancing more or less. The staff is keep all necessary restrictions and treats their customers very well and very politely. It wasn't so hard to make a reservation even though there were pretty many people. All the plates were delicious and we all liked them. The food looked attractive with flavorful smell. And tasted very good for sure. I gave four stars just because of one reason and it was time. We waited for our orders a bit longer than expected but it wasn't like too long. There might have been some rush in the kitchen because the staff was running between the tables the whole time. To conclude, the venue is pretty cool."
5.0,Everything here is FRESH!!!!! That's the best way to describe it. Delicious & fresh. The staff is wonderful. Such an amazing vibe and the garden is beautiful! You must try!
5.0,Such an amazing little spot! The staff is so accommodating and friendly! The garden out back is beautiful! They have a great wine list and their fried chicken sandwich is amazing! Definitely give it a shot you won't be disappointed :))
5.0,"10/10 would dine again!Make your reservation right now ! It's so cute. Everyone was being Covid safe with masks worn properly and tables were spaced out. Everything we ordered was delicious. Green goddess salad, mac and cheese, asparagus, Rocky jr chicken, and the ahi tuna all . Our server was also super nice and the service was good!"
4.0,"VEGAN REVIEW:This was my first time at Fable and I was so delighted to see a vegan entree. I don't think any of the apps were vegan but I don't eat a lot in one sitting so I was content with just my entree. The vegan lasagna was SO yummy. It had almond mozzarella which made me question whether the dish was vegan or not! It was gooey goodness. The pasta part of the lasagna was pan fried which added a lovely crunchy texture to the dish. The marinara was simple but so good. I wish there was more of the marinara but besides that, I was a very happy camper. At dinner, the lasagna was $26 which I thought was kind of pricey. The only vegan dessert I saw was a sorbet trio but I didn't have any. Service was great and their outdoor seating was so beautiful! Ambiance was on point and would be perfect for a date night!"
4.0,"I really enjoyed my experience here. The food and cocktail were delicious. Only thing is it took a while to get our bill, so we were sitting for a bit. The place is pretty busy tho, so not a huge problem."
5.0,"I was pleasantly surprised with the food and service here. To be honest, I didn't have any expectations in particular since I knew nothing about this restaurant other than seeing it coming and going. We were promptly greeted by a friendly host whom offered seating in the front or back outdoor area. The server was prompt and courteous.For the appetizer, we chose the grilled mussels. This paired well with the white wine we ordered.  We then ordered the pork chops (with sweet potatoes, and lentils) and the grilled chicken breast with scalloped potatoes and greens. I wanted to get a real taste of what this restaurant was producing. So, I also ordered a side of mac n cheese and a side of French fries. The fries were served with ketchup and an aioli sauce. The service, quality, presentation, and flavor was enough to make me want to come back for more. In short, I recommend!"
5.0,"Dined there with friends for a Birthday Celebration.   Great outdoor patio with heat lamps, tropical plants, beautiful ambiance.  Each of us ordered a different entree, salad and dessert.  All first quality.  Excellent service and great wine list!  Will definitely be back for more.  I heard the brunch is one of the best in the City"
4.0,"They have an amazing backyard patio ( great for social distancing ) with heated lamps and beautiful garden decor to make your dining experience magical - which is why I am giving them 4 stars. The service was great and they're very attentive. Menus are via a QR code and they only serve wine and beer.Food - portions are huge, we got appetizers and entrees. We got the pork cheeks which came with kale. We got the salmon as an entree which came with a bed of corn. We also ordered their spaghetti special which was homemade and a spin-off of a carbonara. I think the only reason why it is not a 5 star is that pork cheeks didn't really go well with the kale salad and didn't have a lot of flavor, but the spaghetti was delicious and flavorful. The salmon was not overcooked but I was expecting a bit more uniqueness with the flavors here.Overall a solid experience - especially with COVID and social distancing requirements. I definitely enjoyed the experience as I would in a normal situation."
4.0,"Atmosphere, 5 stars! Service and food, eh. I would return for the atmosphere again and again. Weather protected garden patio with heat lamps and the sound of running water. Unfortunately, there seems to be an issue with service each time I've come in, like having my drink delivered as I was leaving and a reservation booked while the kitchen was closed midday without me being informed. Although there have been several mishaps, if you are looking for a laidback brunch experience in a garden and are able to be patient as this new place is working out the kinks, I would recommend."
4.0,3.5 Fable is a very charming place to grab a bite to eat: Especially now when dinning outside or in an open space might be a prudent idea.Our food here was nothing special ( A burger and a sandwich) but it tasted great to be dining out.I could see brunch being fun here. Gorgeous garden setting. Service was great.
4.0,"Dog friendly*Very cute and aesthetically pleasing outdoor space. Doesn't even feel like you're in SF. We arrived on a Monday around 1:00pm. You have to walk through the restaurant to get to the back patio area. The server told us we could sit anywhere that was open. QR code was already on the table to access menu. Their lunch menu is small and only contains sandwiches and salads. Really wish they served brunch everyday, but unfortunately, brunch is only available on the weekends. There was only one server pretty much doing everything so she didn't come to our table right away, but she was super nice and attentive after it died down a bit. We had our dog and she offered water for her which was great. I went with the fried egg sandwich and added avocado. Sandwich was really good but messy! It fell apart as I was eating it. All of the flavors worked really well together but the Focaccia was a bit dry. If you don't like gorgonzola, do not order this. Gorgonzola flavor was really good, creamy and strong.My boyfriend ordered the fried chicken sandwich and it was delicious! No onions in the slaw which he loved. Chicken was crispy but tender and moist inside. We both LOVED their fries. So good!I'd love to come back and enjoy their brunch menu next time. I really hope they make it through this pandemic!"
4.0,"Came here for brunch on a Saturday afternoon. The food was really good - we got the French toast and chilaquiles. I still dream about the French toast. When I'm having a really bad day, I'll go get it. The patio in the back is beautiful & pleasant to sit in.My only feedback is that the service and overall management be improved. I called while we were on the way saying we would be running a few minutes late and with our ETA, and the man on the other end was so rude. He said we likely wouldn't be seated and if we were, our time would be cut short. He said for brunch the time limit is 60 mins and dinner 90 mins.. bc of covid. None of it made sense and seemed odd. Anyway once we got there, they seemed to not care at all and have a table for us."
4.0,"We came here for the ambiance, since in coronavirus times, we only wanted to eat somewhere that had a good outdoor dining heated area. I will say their outdoor area was so covered up that it almost didn't feel outdoors at all, not sure how ventilated it was, but it's still better than indoor dining. The plus side is that the heat lamps were super effective and it felt nice and cozy on the patio. Now for the food - Pork chop was on point! Had to get their bestseller entree, and it did not disappoint. Juicy and tender, and the pear chutney it came with paired really well. Highly recommend this. My husband got the braised lamb and that falls apart so nicely and was super tender as well. Try those two! My friends got the burger and tuna entree, and they unfortunately said those were just okay. We also ordered the delicata squash in sage brown butter to share, and while it was delicious, it was d r i p p i n g in butter. Take that as a positive or negative - up to you!"
5.0,"Think Bistro with a nice off the street patio.Fable gets busy so Book a Reservation. They serve Wine and Beer, have basic fare , and with a backyard patio it's a nice place for Brunch, Lunch or a simple Dinner. Prices are moderate. Parking can be a pain though which can require walking a few blocks from a space to the cafe.I came for Lunch , but have been here before. Service is attentive , food is good , and it's as close as the city has in the way of indoor dinning at the moment. Our Lunch was a Fried Chicken Sandwich , and Burger we both opted for the Fries , and split a Cob Salad. Food was good , and it was a pleasant afternoon. if coming here for Dinner , I would recommend the Mussels as a starter , the Pork , and or the Salmon , and that you indulge in their Mac N Cheese.Fable also has some nice deserts , or you can just wander down to Hot Cookie , and or Double Rainbow to get your sweet on."
5.0,"I was searching for a nice outdoor dining restaurant to catch up with some friends from high school and Yelp lead me to Fable. They have the most beautiful backyard garden with heat lamps and canvas to protect you from the wind and fog here in SF. We tried the Dijon Crusted Pork Cheeks, Grilled Pork Chop and the Baked Mac n Cheese. I loved the kale salad that was served with the pork cheeks - this dish is under starters but is the perfect size for a light entree. The grilled pork chop was flavorful and cooked perfectly. The mac n cheese was just as delicious as the rest. We paired our dinner with a bottle of Pinot Noir and everything was perfect. Overall we had a wonderful experience, food was great, service was great and the ambiance was beautiful!"
3.0,Its not bad. It's not amazing. But it IS expensive. I paid $23 for a damn Cobb salad. Patio is cute.
5.0,"So happy to be able to dine out and have a sense of normalcy at a time like this! Fable is a garden oasis in the Castro, with a large lush patio tucked in the back so you'd never know from the street. QR code to save paper from single-use menus, heat lamps to warm you in case of inclement SF weather, nice knowledgeable staff who always wore their masks properly.Now the food -- stellar! We loved everything we ordered honestly. We were hungry and there for a birthday celebration so we went HAM on the melon prosciutto salad and mac n cheese to start. Oh man the breadcrumbs on the Mac were next level. Salmon and pork were pretty simple but really well-executed. We saw the strawberry panna cotta walk by so many times we were stuffed but still caved and ordered it. No regrets. Boo said it was the most lavender he's tasted In a good way."
3.0,I found the food to be just ok. Nothing to ride home about. The chicken sandwich is fried but excessively fatty. The fries were soggy. The mimosa was mostly juice. The waiter was friendly but not very attentive. Overall a meh experience with lots of better options close by.
5.0,Could tell the patio/ambience was amazing from Yelp/Insta but the food also did not disappoint!! I was hesitant on the Sesame Seed Seared Ahi Tuna since I typically only eat tuna as sushi/ceviche (something that's not just tuna alone) but it was amazing! Just enough crunch on the outside + sauce and veggies for flavor. Didn't get any apps but would love to come back and try some especially during happy hour
5.0,"I loved this place so much! The service was fantastic, the food so good. The garden patio is in the back of the restaurant and the tables are nicely spaced out. Space heaters helped to keep us warm. I will definitely be back!"
5.0,I don't usually write reviews but I felt that I needed to let everyone know how wonderful my dinner experience was last night. The entire staff was friendly and efficient.The food was absolutely delicious. I will definitely be returning.
5.0,Definitely coming back here again! The chocolate banana bread with honey butter was unbelievable. It was extremely moist on the inside and slightly crispy on the outside. I had to resist ordering 5 more banana breads instead of a meal.I ended up going with the pear butter salad with grilled chicken! This was delicious.
1.0,"I *really* want to support Fable. I rave about it to all of my friends and family as the food is great and the patio is wonderful. But after the last two experiences I've had here (and a couple off experiences before), I don't think I'll be returning. Back in October before shelter in place orders (my last time before my recent visit), we had to wait 15 minutes in order to even be acknowledged / get water after being seated. It was a Saturday brunch, so no big deal and it was busy, right? We ordered at the same time we got water given the pace, and we were good to go. We got our food and drinks we'd ordered relatively quickly (albeit at the same time - 15 minutes later). 20 minutes into our meal, the manager brought over our check saying we needed to cash out and leave as our table reservation was approaching the 60 minute limit. I had NO idea there was a 60 minute limit, but to seriously push us out after we only got our drinks / food 20 minutes prior? Bad experience.I went to Fable again last night as a first dinner since restrictions were lifted, and I *really* want to love this place. We were seated, and no joke it took 20 minutes for anyone to even acknowledge us. The table to our left had been seated, received water and their separate drink order, and ordered food before their server came over and said our server (AJ?) would be with us shortly. No one showed up for another 10 minutes, and we'd been sitting for 30 minutes. At that point, I was honestly so frustrated I got up and left. My boyfriend went to the owner and told him the situation, and he asked if he could make it up to us, but it was a lost cause at that point.I get restaurants are doing their best right now, but Fable either doesn't train their staff or doesn't properly zone them. We immediately walked to Starbelly after getting up this second time and were able to secure a rez on our walk over, and were seated promptly, served efficiently, and even apologized to that *they* felt we'd been waiting long (and we hadn't, esp compared to this experience at Fable).Be warned."
4.0,"After months of being good by sheltering in place, I was antsy and wanted to go out. SF finally allowed outdoor dining so I came here with a friend for an outdoor patio lunch and I'm so glad I did!The outdoor patio is pretty with colorful flowers and foliage. We sat in the shade under the awning.The restaurant had hand sanitizer and a QR code menu which was in line with no contact menus. Tables were six feet apart and servers wore masks.I ordered Oven Roasted Chicken Breast (pesto, roasted red pepper, shaved red onion, mozzarella) and Homemade Focaccia Bread (herb dipping oil with thyme, rosemary, parsley, parmesan, chili flakes).Chicken sandwich was yummy and I could taste the pesto and onions. The focaccia bread was crispy and toasted and the herb dipping oil added a lot of flavor.When the sun started to creep into our area, they lowered the awning so everyone under it was in the shade. Talk about anticipating guest's needs! :) My friend and I don't like being in the sun so it was nice to have someone recognize that the sun was going to shine on the diners.Service was attentive and friendly. I would definitely come here for brunch one of these days!"
5.0,"We had a very nice birthday dinner here last night. The garden dining is beautiful, the wine list is excellent, food is fresh and the staff was really nice too.The garden is beautifully decorated with plants, lighting and very effective space heaters. We are definitely going out for a night on the town!"
5.0,"I lost track of how many times I audibly said or silently thought ""oh, wow!"" during the meal. We began with an appetizer of tuna tartar with wonton chips (a special, which the waiter recommended) - it was beautifully plated, and the creaminess of the tuna/avocado mix meshed perfectly with the salty crunch of the chips. For her entrée, my gf ordered the steak frites. The steak was tender and juicy and perfect, but the fries were perhaps the best fries I ever had, which I would describe further, but any verbal rendering of them would be inadequate and thus diminish their grandeur. I ordered the pork chop with mashed potatoes and brussels sprouts for my entrée. It was the second-best pork chop I ever had (Mom's was better), garnished with melon (I think) and raisins, which pulled it all together. The brussels sprouts were also phenomenal and it's tough to go wrong with mashed potatoes (well, one can, but Fable didn't). For dessert we had the chocolate mousse, which was, in my gf's word, ""delightful!""On some non-culinary notes, the outdoor space was lovely, a little piece of paradise in the midst of a pandemic, and our waiter was awesome, equal parts friendly and knowledgeable. This place is great. You should come here."
5.0,I'm glad this beautiful place is still open during COVID. I love their gorgeous patio outdoor space that is eco-friendly. Great team members! I would definitely suggest this beautiful place to my friends.
5.0,"The lush outdoor area, inspired by Jurassic Park, is fantastic.  Food was delicious and the staff incredibly gracious.  Definitely recommend!"
5.0,"Went here for the first time a few weeks ago with a friend - I hadn't heard of it before but my sister found it when trying to help me find an open res somewhere for an early dinner on Friday of LDW. Super cute spot in the Castro with literally the most amazing patio I've ever eaten at. I was so giddy when they seated us because we were surrounded by beautiful plants everywhere - big palms and trees and flowers and greenery everywhere. After being cooped up inside and unable to travel it felt like a tropical getaway which was so wonderful. We ordered a bunch of different things to share - the watermelon and crispy prosciutto salad, the caprese with the housemade mozz and the fried pork cheek and apple salad. The caprese salad was delicious - the tomato was really well seasoned with salt, the mozz was delicious and the servings were generous. I wish they put more mozz on - it was sooo creamy and so good, I honestly would've bought some to good if it was available. The pork cheek salad was mind blowingly good - I didn't know what to expect originally, but the pork cheek was so tender and so well seasoned and it paired perfectly with the apple vinegary salad. The melon and prosciutto salad was also good, but not quite as great as the other two. Still very refreshing and tasty though! We obviously couldn't resist dessert so we ended up getting the bread pudding and panna cotta (and a glass of port). Oh my goodness - both desserts were absolutely incredible, although the panna cotta was one of the better desserts I've had recently. Service was really wonderful and I felt very safe with all of the socially distanced measures they put in place. Such a great find, and looking forward to returning!"
5.0,I had such an amazing brunch experience at Fable! Everyone was so sweet and attentive!! I can't wait to come back!!
3.0,"Honestly, don't get the hype. Might just not be my taste, but the food was bland. Everything was okay at best. Don't get the sweet potato chips, they were soggy?"
4.0,Made a reservation in the afternoon for patio seating. Only every other table was seated and the servers all wore masks.The patio is very cute and a great place to hang out. It felt airy and relatively safe during covid times. They seem to be only serving a limited menu right now though and their food was just okay. But still a great place for a classic glass of wine and a cute outdoor spot!
5.0,"As an old fart, I believe this was where Nirvana used to be. All of the dishes had plenty of flavors. I would order a few of the cauliflower apps! Great staff and kid friendly."
5.0,"Absolutely delicious and great ambiance. Super chic. The Chilaquiles, French toast, crab crack Benedict's were off the charts. For drinks the bloody Mary's and blood orange margarita were super tasty."
5.0,"This is a great option for Covid dining because they have the most beautiful garden space in the back where you can dine outdoors with enough space between tables. It's quite a large outdoor space and has lush plants and cute lighting all around, making it a great place for a date night. I ordered the Dijon crusted pork cheeks and the baked Mac and cheese side for dinner and I highly recommend this combo for a dinner portion! The pork cheeks were super tender and delicious and a decent portion with the greens alongside. The Mac and cheese was decadent and comes in a good size small pan. Staff is very friendly and knowledgeable."
4.0,"My husband and I really enjoyed the experience here. The patio for outdoor dining is beautiful, although I wish we would have been seated in a more shady area as it was a hot day. We had a reservation for Sunday brunch but still had to wait about ten minutes, nbd. The service was attentive but they definitely seemed stretched thin. But as I said this was Sunday brunch, so I'm sure they're less rushed at other times. I had the chocolate chip banana bread with honey butter and a side of bacon. The banana bread was absolutely amazing and perfect for someone like me who prefers a sweet treat rather than a full meal for breakfast. TBH it's hard to mess up bacon in my book, so of course I enjoyed that as well (especially dipped in honey butter .)My husband had the Burger and fries, which were standard but good and and came in a generous portion. The food is pretty reasonably priced for a SF brunch and we'll probably be back."
4.0,The lunch menu was kind of eh but the brunch and dinner seem more exciting so I guess I might go there again to try those menus.The sandwich was unexpected really yummy and the burger was juicy and good.
5.0,Beautiful outdoor space! Also they had the best fried chicken sandwich I've ever eaten in my life! I think about it often LOL! I will definitely going back here when back in town!
3.0,"They have a nice patio. Food was alright, they're not supposed to do the burger less than medium. Could use more seasoning. Nice ambience I guess, drinks okay, not super impressed but wouldn't tell someone not to go either if that makes sense."
4.0,Patio and burger are hard to best on a sunny afternoon.  Fable is great for brunch with friends and the service is friendly.
